Date : 2021-06-01 01:31:50
Directory : c:\laragon\www\telexperticia
Total : 2246 files,  337091 codes, 37413 comments, 36099 blanks, all 410603 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| JavaScript   |        893 |    196,480 |     33,209 |     18,380 |    248,069 |
| CSS          |         77 |     62,274 |        956 |     11,685 |     74,915 |
| XML          |        814 |     42,314 |          4 |      1,073 |     43,391 |
| SCSS         |         97 |     12,586 |        138 |        376 |     13,100 |
| PHP          |        260 |     11,983 |      2,976 |      2,352 |     17,311 |
| HTML         |         34 |      5,852 |         57 |      1,117 |      7,026 |
| Markdown     |         14 |      2,592 |          1 |        982 |      3,575 |
| Less         |         20 |      2,201 |         44 |         72 |      2,317 |
| JSON         |         25 |        599 |         24 |         19 |        642 |
| vue          |          2 |         68 |          0 |          5 |         73 |
| Shell Script |          2 |         57 |          2 |         16 |         75 |
| YAML         |          5 |         39 |          0 |          7 |         46 |
| CoffeeScript |          1 |         36 |          0 |          9 |         45 |
| Makefile     |          1 |          6 |          2 |          5 |         13 |
| Ignore       |          1 |          4 |          0 |          1 |          5 |
+--------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |      2,246 |    337,091 |     37,413 |     36,099 |    410,603 |
| .idea                                                                                                                |          8 |      3,702 |          0 |          3 |      3,705 |
| .idea\commandlinetools                                                                                               |          2 |      3,415 |          0 |          3 |      3,418 |
| .idea\commandlinetools\schemas                                                                                       |          1 |         47 |          0 |          1 |         48 |
| app                                                                                                                  |         81 |      2,982 |      1,197 |        825 |      5,004 |
| app\Actions                                                                                                          |          5 |        123 |         39 |         30 |        192 |
| app\Actions\Fortify                                                                                                  |          5 |        123 |         39 |         30 |        192 |
| app\Console                                                                                                          |          1 |         17 |         18 |          7 |         42 |
| app\Exceptions                                                                                                       |          1 |         19 |         17 |          6 |         42 |
| app\Http                                                                                                             |         47 |      1,844 |        717 |        514 |      3,075 |
| app\Http\Controllers                                                                                                 |         19 |      1,371 |        480 |        381 |      2,232 |
| app\Http\Controllers\Api                                                                                             |          3 |        131 |         45 |         49 |        225 |
| app\Http\Middleware                                                                                                  |          8 |         87 |         52 |         35 |        174 |
| app\Http\Requests                                                                                                    |         14 |        280 |        140 |         70 |        490 |
| app\Http\Resources                                                                                                   |          4 |         40 |         24 |         16 |         80 |
| app\Models                                                                                                           |         13 |        556 |         49 |        148 |        753 |
| app\Models\Scopes                                                                                                    |          1 |         40 |         27 |          9 |         76 |
| app\Policies                                                                                                         |          6 |        221 |        282 |         66 |        569 |
| app\Providers                                                                                                        |          6 |        162 |         75 |         46 |        283 |
| app\Traits                                                                                                           |          1 |         30 |          0 |          5 |         35 |
| bootstrap                                                                                                            |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                               |         20 |        636 |      1,074 |        315 |      2,025 |
| database                                                                                                             |         39 |      1,032 |        339 |        206 |      1,577 |
| database\factories                                                                                                   |          6 |        116 |         62 |         30 |        208 |
| database\migrations                                                                                                  |         22 |        649 |        221 |        115 |        985 |
| database\seeders                                                                                                     |         11 |        267 |         56 |         61 |        384 |
| public                                                                                                               |      1,892 |    315,590 |     34,194 |     33,364 |    383,148 |
| public\assets                                                                                                        |      1,888 |    270,954 |     20,173 |     23,076 |    314,203 |
| public\assets\fonts                                                                                                  |          6 |      2,728 |          6 |      1,174 |      3,908 |
| public\assets\fonts\feather-font                                                                                     |          4 |      2,295 |          6 |      1,166 |      3,467 |
| public\assets\fonts\feather-font\css                                                                                 |          1 |        291 |          2 |        276 |        569 |
| public\assets\fonts\feather-font\examples                                                                            |          2 |      1,709 |          1 |        338 |      2,048 |
| public\assets\fonts\feather-font\fonts                                                                               |          1 |        295 |          3 |        552 |        850 |
| public\assets\fonts\overpass                                                                                         |          2 |        433 |          0 |          8 |        441 |
| public\assets\images                                                                                                 |          1 |        250 |          1 |          1 |        252 |
| public\assets\js                                                                                                     |         34 |      2,402 |         89 |        218 |      2,709 |
| public\assets\plugins                                                                                                |      1,847 |    265,574 |     20,077 |     21,683 |    307,334 |
| public\assets\plugins\@mdi                                                                                           |         15 |     21,620 |        133 |      5,294 |     27,047 |
| public\assets\plugins\@mdi\.github                                                                                   |          1 |          3 |          0 |          1 |          4 |
| public\assets\plugins\@mdi\css                                                                                       |          2 |     15,566 |        115 |      5,176 |     20,857 |
| public\assets\plugins\@mdi\scss                                                                                      |          8 |      5,280 |         18 |          9 |      5,307 |
| public\assets\plugins\ace-builds                                                                                     |        417 |      2,856 |         21 |        405 |      3,282 |
| public\assets\plugins\ace-builds\snippets                                                                            |        172 |      1,198 |          7 |        171 |      1,376 |
| public\assets\plugins\animate-css                                                                                    |          1 |          2 |          7 |          2 |         11 |
| public\assets\plugins\apexcharts                                                                                     |          1 |          3 |         11 |          1 |         15 |
| public\assets\plugins\bootstrap-colorpicker                                                                          |          2 |          2 |         18 |          1 |         21 |
| public\assets\plugins\bootstrap-datepicker                                                                           |         95 |      4,216 |        149 |        191 |      4,556 |
| public\assets\plugins\bootstrap-datepicker\css                                                                       |          8 |      2,358 |         44 |          8 |      2,410 |
| public\assets\plugins\bootstrap-datepicker\js                                                                        |          2 |      1,772 |         95 |        181 |      2,048 |
| public\assets\plugins\bootstrap-datepicker\locales                                                                   |         83 |         83 |          0 |          0 |         83 |
| public\assets\plugins\bootstrap-maxlength                                                                            |          1 |          1 |          8 |          1 |         10 |
| public\assets\plugins\chartjs                                                                                        |          1 |          1 |          6 |          1 |          8 |
| public\assets\plugins\clipboard                                                                                      |          1 |          1 |          6 |          0 |          7 |
| public\assets\plugins\cropperjs                                                                                      |          2 |          2 |         17 |          0 |         19 |
| public\assets\plugins\datatables-net                                                                                 |          2 |      6,558 |      6,989 |      1,995 |     15,542 |
| public\assets\plugins\datatables-net-bs4                                                                             |          1 |        131 |         26 |         28 |        185 |
| public\assets\plugins\dropify                                                                                        |          6 |      1,587 |        371 |        196 |      2,154 |
| public\assets\plugins\dropify\css                                                                                    |          3 |      1,139 |        224 |        110 |      1,473 |
| public\assets\plugins\dropify\fonts                                                                                  |          1 |         13 |          0 |          0 |         13 |
| public\assets\plugins\dropify\js                                                                                     |          2 |        435 |        147 |         86 |        668 |
| public\assets\plugins\dropzone                                                                                       |          2 |          2 |          0 |          1 |          3 |
| public\assets\plugins\feather-icons                                                                                  |        290 |      1,666 |        512 |        536 |      2,714 |
| public\assets\plugins\feather-icons\icons                                                                            |        286 |        286 |          0 |          0 |        286 |
| public\assets\plugins\flag-icon-css                                                                                  |        540 |     38,270 |         15 |        614 |     38,899 |
| public\assets\plugins\flag-icon-css\.github                                                                          |          1 |          1 |          0 |          1 |          2 |
| public\assets\plugins\flag-icon-css\assets                                                                           |          3 |        316 |          2 |         20 |        338 |
| public\assets\plugins\flag-icon-css\css                                                                              |          2 |      1,563 |          0 |          1 |      1,564 |
| public\assets\plugins\flag-icon-css\flags                                                                            |        514 |     35,062 |          0 |        514 |     35,576 |
| public\assets\plugins\flag-icon-css\flags\1x1                                                                        |        257 |     17,570 |          0 |        257 |     17,827 |
| public\assets\plugins\flag-icon-css\flags\4x3                                                                        |        257 |     17,492 |          0 |        257 |     17,749 |
| public\assets\plugins\flag-icon-css\less                                                                             |          5 |        290 |          0 |          7 |        297 |
| public\assets\plugins\flag-icon-css\sass                                                                             |          4 |        295 |          1 |          7 |        303 |
| public\assets\plugins\flot-curvedlines                                                                               |          1 |        274 |        134 |         76 |        484 |
| public\assets\plugins\font-awesome                                                                                   |         33 |      8,638 |        101 |        128 |      8,867 |
| public\assets\plugins\font-awesome\css                                                                               |          2 |      2,328 |         13 |          2 |      2,343 |
| public\assets\plugins\font-awesome\fonts                                                                             |          1 |      2,671 |          0 |          1 |      2,672 |
| public\assets\plugins\font-awesome\less                                                                              |         14 |      1,758 |         44 |         48 |      1,850 |
| public\assets\plugins\font-awesome\scss                                                                              |         14 |      1,758 |         44 |         48 |      1,850 |
| public\assets\plugins\fullcalendar                                                                                   |         81 |     17,692 |      1,014 |        720 |     19,426 |
| public\assets\plugins\fullcalendar\locales                                                                           |         74 |      1,770 |          1 |        296 |      2,067 |
| public\assets\plugins\inputmask                                                                                      |          1 |          1 |          7 |          0 |          8 |
| public\assets\plugins\jquery-flot-tooltip                                                                            |          1 |          1 |         11 |          0 |         12 |
| public\assets\plugins\jquery-mousewheel                                                                              |          1 |        145 |         44 |         33 |        222 |
| public\assets\plugins\jquery-sparkline                                                                               |          1 |          2 |          0 |          1 |          3 |
| public\assets\plugins\jquery-steps                                                                                   |          2 |        314 |         15 |         59 |        388 |
| public\assets\plugins\jquery-tags-input                                                                              |          2 |          2 |          0 |          0 |          2 |
| public\assets\plugins\jquery-ui-dist                                                                                 |          2 |          9 |          5 |          2 |         16 |
| public\assets\plugins\jquery-validation                                                                              |          1 |          1 |          3 |          0 |          4 |
| public\assets\plugins\jquery.flot                                                                                    |         70 |     18,345 |      3,150 |      4,533 |     26,028 |
| public\assets\plugins\jquery.flot\examples                                                                           |         40 |      3,748 |        221 |        820 |      4,789 |
| public\assets\plugins\jquery.flot\examples\ajax                                                                      |          9 |        155 |          1 |         58 |        214 |
| public\assets\plugins\jquery.flot\examples\annotating                                                                |          1 |         64 |          1 |         23 |         88 |
| public\assets\plugins\jquery.flot\examples\axes-interacting                                                          |          1 |         76 |          1 |         21 |         98 |
| public\assets\plugins\jquery.flot\examples\axes-multiple                                                             |          1 |         57 |          1 |         20 |         78 |
| public\assets\plugins\jquery.flot\examples\axes-time                                                                 |          1 |        111 |          1 |         26 |        138 |
| public\assets\plugins\jquery.flot\examples\axes-time-zones                                                           |          3 |        795 |        191 |         62 |      1,048 |
| public\assets\plugins\jquery.flot\examples\axes-time-zones\tz                                                        |          1 |         33 |          1 |          5 |         39 |
| public\assets\plugins\jquery.flot\examples\basic-options                                                             |          1 |         74 |          1 |         17 |         92 |
| public\assets\plugins\jquery.flot\examples\basic-usage                                                               |          1 |         39 |          1 |         18 |         58 |
| public\assets\plugins\jquery.flot\examples\canvas                                                                    |          1 |         56 |          1 |         19 |         76 |
| public\assets\plugins\jquery.flot\examples\categories                                                                |          1 |         45 |          1 |         19 |         65 |
| public\assets\plugins\jquery.flot\examples\image                                                                     |          1 |         52 |          1 |         17 |         70 |
| public\assets\plugins\jquery.flot\examples\interacting                                                               |          1 |         95 |          1 |         23 |        119 |
| public\assets\plugins\jquery.flot\examples\navigate                                                                  |          1 |        122 |          1 |         31 |        154 |
| public\assets\plugins\jquery.flot\examples\percentiles                                                               |          1 |         61 |          1 |         18 |         80 |
| public\assets\plugins\jquery.flot\examples\realtime                                                                  |          1 |         89 |          1 |         33 |        123 |
| public\assets\plugins\jquery.flot\examples\resize                                                                    |          1 |         56 |          1 |         20 |         77 |
| public\assets\plugins\jquery.flot\examples\selection                                                                 |          1 |        121 |          1 |         31 |        153 |
| public\assets\plugins\jquery.flot\examples\series-errorbars                                                          |          1 |        126 |          1 |         24 |        151 |
| public\assets\plugins\jquery.flot\examples\series-pie                                                                |          1 |        710 |          1 |        108 |        819 |
| public\assets\plugins\jquery.flot\examples\series-toggle                                                             |          1 |         98 |          1 |         23 |        122 |
| public\assets\plugins\jquery.flot\examples\series-types                                                              |          1 |         71 |          1 |         19 |         91 |
| public\assets\plugins\jquery.flot\examples\shared                                                                    |          1 |          1 |          4 |          1 |          6 |
| public\assets\plugins\jquery.flot\examples\shared\jquery-ui                                                          |          1 |          1 |          4 |          1 |          6 |
| public\assets\plugins\jquery.flot\examples\stacking                                                                  |          1 |         85 |          1 |         22 |        108 |
| public\assets\plugins\jquery.flot\examples\symbols                                                                   |          1 |         58 |          1 |         18 |         77 |
| public\assets\plugins\jquery.flot\examples\threshold                                                                 |          1 |         59 |          1 |         17 |         77 |
| public\assets\plugins\jquery.flot\examples\tracking                                                                  |          1 |        103 |          1 |         32 |        136 |
| public\assets\plugins\jquery.flot\examples\visitors                                                                  |          1 |        112 |          1 |         35 |        148 |
| public\assets\plugins\jquery.flot\examples\zooming                                                                   |          1 |        113 |          1 |         31 |        145 |
| public\assets\plugins\moment                                                                                         |          1 |          1 |          0 |          0 |          1 |
| public\assets\plugins\morrisjs                                                                                       |          2 |          4 |          5 |          1 |         10 |
| public\assets\plugins\owl-carousel                                                                                   |          9 |      2,313 |      1,020 |        553 |      3,886 |
| public\assets\plugins\owl-carousel\assets                                                                            |          6 |        229 |         57 |         21 |        307 |
| public\assets\plugins\peity                                                                                          |          1 |          1 |          6 |          1 |          8 |
| public\assets\plugins\perfect-scrollbar                                                                              |          5 |      3,455 |        148 |        571 |      4,174 |
| public\assets\plugins\prismjs                                                                                        |          3 |        916 |        155 |        207 |      1,278 |
| public\assets\plugins\progressbar-js                                                                                 |          1 |          1 |          4 |          1 |          6 |
| public\assets\plugins\promise-polyfill                                                                               |          1 |          1 |          0 |          1 |          2 |
| public\assets\plugins\raphael                                                                                        |          1 |          1 |          0 |          0 |          1 |
| public\assets\plugins\select2                                                                                        |         67 |     10,128 |        722 |      2,627 |     13,477 |
| public\assets\plugins\select2\css                                                                                    |          2 |        426 |          0 |         58 |        484 |
| public\assets\plugins\select2\js                                                                                     |         63 |      9,700 |        721 |      2,568 |     12,989 |
| public\assets\plugins\select2\js\i18n                                                                                |         59 |         59 |         59 |         59 |        177 |
| public\assets\plugins\simplemde                                                                                      |          2 |         10 |         12 |          0 |         22 |
| public\assets\plugins\sweetalert2                                                                                    |          2 |          2 |          0 |          0 |          2 |
| public\assets\plugins\tempusdominus-bootstrap-4                                                                      |          2 |      2,579 |         65 |        343 |      2,987 |
| public\assets\plugins\tinymce                                                                                        |        176 |    123,818 |      5,162 |      2,559 |    131,539 |
| public\assets\plugins\tinymce\plugins                                                                                |        134 |     45,209 |        970 |      1,134 |     47,313 |
| public\assets\plugins\tinymce\plugins\advlist                                                                        |          3 |        279 |         22 |         13 |        314 |
| public\assets\plugins\tinymce\plugins\anchor                                                                         |          3 |        131 |         22 |         10 |        163 |
| public\assets\plugins\tinymce\plugins\autolink                                                                       |          3 |        178 |         22 |          8 |        208 |
| public\assets\plugins\tinymce\plugins\autoresize                                                                     |          3 |        171 |         22 |         12 |        205 |
| public\assets\plugins\tinymce\plugins\autosave                                                                       |          3 |        207 |         22 |         18 |        247 |
| public\assets\plugins\tinymce\plugins\bbcode                                                                         |          3 |         91 |         22 |          7 |        120 |
| public\assets\plugins\tinymce\plugins\charmap                                                                        |          3 |      1,666 |         22 |         24 |      1,712 |
| public\assets\plugins\tinymce\plugins\code                                                                           |          3 |         85 |         22 |          9 |        116 |
| public\assets\plugins\tinymce\plugins\codesample                                                                     |          3 |      1,740 |         22 |         21 |      1,783 |
| public\assets\plugins\tinymce\plugins\colorpicker                                                                    |          3 |         12 |         22 |          5 |         39 |
| public\assets\plugins\tinymce\plugins\contextmenu                                                                    |          3 |         12 |         22 |          5 |         39 |
| public\assets\plugins\tinymce\plugins\directionality                                                                 |          3 |        288 |         22 |         21 |        331 |
| public\assets\plugins\tinymce\plugins\emoticons                                                                      |          5 |      9,587 |         24 |         25 |      9,636 |
| public\assets\plugins\tinymce\plugins\emoticons\js                                                                   |          2 |      9,015 |          2 |          0 |      9,017 |
| public\assets\plugins\tinymce\plugins\fullpage                                                                       |          3 |        545 |         22 |         18 |        585 |
| public\assets\plugins\tinymce\plugins\fullscreen                                                                     |          3 |      1,138 |         22 |         49 |      1,209 |
| public\assets\plugins\tinymce\plugins\help                                                                           |          3 |        874 |         22 |         29 |        925 |
| public\assets\plugins\tinymce\plugins\hr                                                                             |          3 |         36 |         22 |          7 |         65 |
| public\assets\plugins\tinymce\plugins\image                                                                          |          3 |      2,476 |         22 |         38 |      2,536 |
| public\assets\plugins\tinymce\plugins\imagetools                                                                     |          3 |      1,661 |         22 |         52 |      1,735 |
| public\assets\plugins\tinymce\plugins\importcss                                                                      |          3 |        385 |         22 |         17 |        424 |
| public\assets\plugins\tinymce\plugins\insertdatetime                                                                 |          3 |        182 |         22 |         11 |        215 |
| public\assets\plugins\tinymce\plugins\legacyoutput                                                                   |          3 |        171 |         22 |          8 |        201 |
| public\assets\plugins\tinymce\plugins\link                                                                           |          3 |      1,802 |         22 |         36 |      1,860 |
| public\assets\plugins\tinymce\plugins\lists                                                                          |          3 |      2,105 |         22 |         75 |      2,202 |
| public\assets\plugins\tinymce\plugins\media                                                                          |          3 |      1,316 |         22 |         37 |      1,375 |
| public\assets\plugins\tinymce\plugins\nonbreaking                                                                    |          3 |         93 |         22 |         11 |        126 |
| public\assets\plugins\tinymce\plugins\noneditable                                                                    |          3 |        111 |         22 |          8 |        141 |
| public\assets\plugins\tinymce\plugins\pagebreak                                                                      |          3 |        103 |         22 |         11 |        136 |
| public\assets\plugins\tinymce\plugins\paste                                                                          |          3 |      2,347 |         22 |         48 |      2,417 |
| public\assets\plugins\tinymce\plugins\preview                                                                        |          3 |        109 |         22 |         12 |        143 |
| public\assets\plugins\tinymce\plugins\print                                                                          |          3 |         42 |         22 |          8 |         72 |
| public\assets\plugins\tinymce\plugins\quickbars                                                                      |          3 |        837 |         22 |         41 |        900 |
| public\assets\plugins\tinymce\plugins\save                                                                           |          3 |        115 |         22 |         11 |        148 |
| public\assets\plugins\tinymce\plugins\searchreplace                                                                  |          3 |        851 |         22 |         23 |        896 |
| public\assets\plugins\tinymce\plugins\spellchecker                                                                   |          3 |        798 |         22 |         22 |        842 |
| public\assets\plugins\tinymce\plugins\tabfocus                                                                       |          3 |        112 |         22 |         13 |        147 |
| public\assets\plugins\tinymce\plugins\table                                                                          |          3 |      9,263 |         22 |        227 |      9,512 |
| public\assets\plugins\tinymce\plugins\template                                                                       |          3 |        572 |         22 |         21 |        615 |
| public\assets\plugins\tinymce\plugins\textcolor                                                                      |          3 |         12 |         22 |          5 |         39 |
| public\assets\plugins\tinymce\plugins\textpattern                                                                    |          3 |      1,376 |         22 |         36 |      1,434 |
| public\assets\plugins\tinymce\plugins\toc                                                                            |          3 |        230 |         22 |         14 |        266 |
| public\assets\plugins\tinymce\plugins\visualblocks                                                                   |          3 |         99 |         22 |         12 |        133 |
| public\assets\plugins\tinymce\plugins\visualchars                                                                    |          3 |        535 |         22 |         31 |        588 |
| public\assets\plugins\tinymce\plugins\wordcount                                                                      |          3 |        466 |         22 |         25 |        513 |
| public\assets\plugins\tinymce\skins                                                                                  |         28 |      9,631 |        292 |         28 |      9,951 |
| public\assets\plugins\tinymce\skins\content                                                                          |          8 |        190 |         49 |          8 |        247 |
| public\assets\plugins\tinymce\skins\content\dark                                                                     |          2 |         53 |         13 |          2 |         68 |
| public\assets\plugins\tinymce\skins\content\default                                                                  |          2 |         44 |         12 |          2 |         58 |
| public\assets\plugins\tinymce\skins\content\document                                                                 |          2 |         48 |         12 |          2 |         62 |
| public\assets\plugins\tinymce\skins\content\writer                                                                   |          2 |         45 |         12 |          2 |         59 |
| public\assets\plugins\tinymce\skins\ui                                                                               |         20 |      9,441 |        243 |         20 |      9,704 |
| public\assets\plugins\tinymce\skins\ui\oxide                                                                         |         10 |      4,730 |        121 |         10 |      4,861 |
| public\assets\plugins\tinymce\skins\ui\oxide-dark                                                                    |         10 |      4,711 |        122 |         10 |      4,843 |
| public\assets\plugins\tinymce\themes                                                                                 |          6 |     40,456 |      3,757 |      1,039 |     45,252 |
| public\assets\plugins\tinymce\themes\mobile                                                                          |          3 |     13,266 |        193 |        367 |     13,826 |
| public\assets\plugins\tinymce\themes\silver                                                                          |          3 |     27,190 |      3,564 |        672 |     31,426 |
| public\assets\plugins\typeahead-js                                                                                   |          1 |          2 |          5 |          1 |          8 |
| public\css                                                                                                           |          1 |     26,002 |         30 |      5,675 |     31,707 |
| public\js                                                                                                            |          1 |     18,568 |     13,961 |      4,600 |     37,129 |
| resources                                                                                                            |        180 |     12,029 |        310 |      1,016 |     13,355 |
| resources\js                                                                                                         |          4 |         77 |         28 |         19 |        124 |
| resources\js\components                                                                                              |          2 |         68 |          0 |          5 |         73 |
| resources\lang                                                                                                       |         11 |        682 |         70 |         53 |        805 |
| resources\lang\en                                                                                                    |          5 |        304 |         60 |         39 |        403 |
| resources\lang\es                                                                                                    |          5 |        299 |         10 |         13 |        322 |
| resources\sass                                                                                                       |         71 |      5,253 |         75 |        312 |      5,640 |
| resources\sass\components                                                                                            |         44 |      3,217 |         35 |        158 |      3,410 |
| resources\sass\components\email                                                                                      |          3 |        606 |          1 |         16 |        623 |
| resources\sass\components\plugin-overrides                                                                           |         18 |      1,039 |          9 |         59 |      1,107 |
| resources\sass\mixins                                                                                                |         12 |        400 |         21 |         50 |        471 |
| resources\views                                                                                                      |         94 |      6,017 |        137 |        632 |      6,786 |
| resources\views\app                                                                                                  |         59 |      4,558 |          2 |        430 |      4,990 |
| resources\views\app\active_logs                                                                                      |          1 |         51 |          0 |          7 |         58 |
| resources\views\app\doctors                                                                                          |          5 |        397 |          0 |         38 |        435 |
| resources\views\app\gparameters                                                                                      |          5 |        336 |          2 |         43 |        381 |
| resources\views\app\medical_boards                                                                                   |          5 |        496 |          0 |         50 |        546 |
| resources\views\app\parameters                                                                                       |          5 |        285 |          0 |         35 |        320 |
| resources\views\app\patients                                                                                         |          5 |        420 |          0 |         36 |        456 |
| resources\views\app\permissions                                                                                      |          5 |        336 |          0 |         31 |        367 |
| resources\views\app\records                                                                                          |          5 |        435 |          0 |         39 |        474 |
| resources\views\app\reports                                                                                          |          6 |        590 |          0 |         37 |        627 |
| resources\views\app\roles                                                                                            |          5 |        309 |          0 |         37 |        346 |
| resources\views\app\specialties                                                                                      |          5 |        249 |          0 |         33 |        282 |
| resources\views\app\stats                                                                                            |          1 |        214 |          0 |         10 |        224 |
| resources\views\app\users                                                                                            |          5 |        391 |          0 |         31 |        422 |
| resources\views\app\zoom                                                                                             |          1 |         49 |          0 |          3 |         52 |
| resources\views\auth                                                                                                 |          5 |        242 |          0 |         46 |        288 |
| resources\views\auth\passwords                                                                                       |          3 |        161 |          0 |         36 |        197 |
| resources\views\components                                                                                           |         17 |        184 |          0 |         26 |        210 |
| resources\views\components\inputs                                                                                    |         14 |        148 |          0 |         22 |        170 |
| resources\views\components\inputs\partials                                                                           |          2 |          4 |          0 |          0 |          4 |
